coroner_name,count
Ms Alison Patricia Mutch OBE,227
Ms Mary Hassell,173
Ms Nadia Persaud,90
Mr Professor John S Pollard,89
Mr Tom Osborne,84
Mr Andrew Cox,81
Mrs Jacqueline F Lake,79
Mrs Louise Hunt,77
Mr Andrew Harris,70
Mr John Gittins,70
Mr Chris Morris,68
Mr graeme Irvine,64
Miss Veronica HAMILTON-DEELEY,62
Mr Kevin McLoughlin,59
Mrs lydia brown,57
Mr Zafar Siddique,55
Ms Joanne Kearsley,55
Mr Andrew Walker,52
Mr Martin Dominic Fleming,51
Dr Fiona Jane Wilcox,51
Mrs Heidi Julia Connor,50
Mr Andrew Adrian Haigh,49
Mrs Maria Eileen Voisin,46
Mrs Rachael Clare Griffin,44
Ms Penelope Schofield,44
Miss Emma Brown,44
Ms Caroline Saunders,43
Ms Sonia Marie Hayes,43
Ms Lisa Jeanette Hashmi,42
Mr Andrew Roger Barkley,41
