sent_to,no. PFDs,overdue,pending,received,% received
Department of Health and Social Care,688,275,12,401,58
NHS England,469,182,9,278,59
Care Quality Commission,165,98,5,62,38
HM Prison and Probation Service,146,82,1,63,43
Ministry of Justice,99,77,1,21,21
Home Office,97,41,2,54,56
NHS Greater Manchester Integrated Care Board,96,44,3,49,51
Department for Transport,93,41,1,51,55
National Institute for Health and Care Excellence,92,54,2,36,39
Betsi Cadwaladr University Health Board,71,20,0,51,72
Barts Health NHS Trust,70,25,2,43,61
REDACTED,65,53,0,12,18
National Highways,64,36,3,25,39
Metropolitan Police Service,60,30,0,30,50
University Hospitals Sussex NHS Foundation Trust,59,30,1,28,47
Medicines and Healthcare Products Regulatory Agency,56,38,1,17,30
National Police Chiefs’ Council,55,42,1,12,22
Health and Safety Executive,53,31,0,22,42
Pennine Care NHS Foundation Trust,48,29,1,18,38
Welsh Ambulance Services NHS Trust,45,17,0,28,62
Greater Manchester Mental Health NHS Foundation Trust,44,26,1,17,39
Department for Education,44,19,1,24,55
Sussex Partnership NHS Foundation Trust,43,19,1,23,53
Network Rail,41,11,0,30,73
Northern Care Alliance NHS Foundation Trust,39,21,0,18,46
College of Policing,38,13,1,24,63
"Ministry of Housing, Communities and Local Government",37,19,1,17,46
Norfolk and Suffolk NHS Foundation Trust,36,10,0,26,72
East London NHS Foundation Trust,36,14,0,22,61
Manchester University NHS Foundation Trust,36,19,1,16,44
